feature,ours,strong_baseline_biocoder,strong_baseline_python,medium_baseline,weak_baseline_3,weak_baseline_4
for-loop,1,1,1,0,1,1
while-loop,1,1,0,1,1,1
if-branch,1,1,1,1,1,1
allocate-statement,1,1,1,1,1,1
deallocate-statement,1,1,1,0,0,1
function-procedure-call,1,1,1,1,1,1
function-procedure-declaration,1,1,1,1,1,1
add-arithmetic-operator,1,1,0,1,0,1
minus-arithmetic-operator,1,1,1,1,1,1
multi-arithmetic-operator,1,1,1,1,1,0
devid-arithmetic-operator,1,1,1,1,1,1
and-arithmetic-operator,1,1,1,1,1,0
or-arithmetic-operator,1,1,1,1,1,1
not-arithmetic-operator,1,1,1,1,1,1
assignment-expression,1,1,0,0,0,1
raise-statement,1,1,0,1,0,1
interger-type-declaration,1,0,0,1,1,1
floatingpoint-type-declaration,1,1,0,1,1,1
boolean-type-declaration,1,1,1,1,1,0
string-type-declaration,1,1,1,0,1,1
vector-type-declaration,1,1,1,0,1,0
set-type-declaration,1,1,0,1,1,0
temporal-type-declaration,1,1,1,1,1,1
reg-type-declaration,1,1,1,0,1,1
device-type-declaration,1,1,1,1,0,1
container-type-declaration,1,1,1,1,1,1
scientific-type-declaration,1,1,1,1,1,1
class-type,1,1,1,1,1,0
parallel-for,1,0,1,1,1,1
event-statement,1,1,1,1,1,1
response-statement,1,1,1,1,1,0
