feature,ours,strong_baseline_biocoder,strong_baseline_python,medium_baseline,weak_baseline_3,weak_baseline_4
for-loop,1,1,1,1,1,1
while-loop,1,1,1,1,1,1
if-branch,1,1,1,1,1,1
allocate-statement,1,0,0,1,0,1
deallocate-statement,0,0,1,0,0,0
function-procedure-call,1,1,1,1,1,0
function-procedure-declaration,1,1,1,1,1,1
add-arithmetic-operator,1,1,1,1,1,1
minus-arithmetic-operator,0,1,0,1,0,0
multi-arithmetic-operator,1,1,1,1,0,0
devid-arithmetic-operator,0,1,1,0,1,0
and-arithmetic-operator,0,1,1,1,1,0
or-arithmetic-operator,1,1,1,1,0,0
not-arithmetic-operator,1,1,1,0,1,0
assignment-expression,0,1,1,1,1,1
raise-statement,1,1,1,1,0,0
interger-type-declaration,0,0,1,0,0,1
floatingpoint-type-declaration,0,0,0,1,0,1
boolean-type-declaration,1,0,1,0,0,0
string-type-declaration,0,0,1,0,1,1
vector-type-declaration,1,1,1,1,1,1
set-type-declaration,1,0,1,1,0,0
temporal-type-declaration,1,1,1,1,1,1
reg-type-declaration,1,1,0,0,0,0
device-type-declaration,1,1,1,1,1,0
container-type-declaration,1,0,1,1,1,1
scientific-type-declaration,0,1,0,1,1,0
class-type,1,0,0,0,0,0
parallel-for,1,1,1,0,1,0
event-statement,0,0,1,0,1,1
response-statement,1,1,1,0,0,1
